cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3
3.06.01,Receitas Financeiras,26602.0,5630.0,28639.0,34641.0,6304.0,2767.0,2648.0,11048.0,9647.0,6137.0,11083.0,92.0,5695.0,1228.0,2085.0,15908.0,8096.0,12125.0,8072.0,6786.0,8690.0,5007.0,7351.0,3806.0,6023.0,8922.0,6845.0,7851.0,18358.0,15114.0,24137.0,20526.0,19537.0,21381.0,19939.0,20006.0,13642.0,6641.0,120668.0
3.06.02,Despesas Financeiras,-47532.0,-54620.0,-56698.0,-55429.0,-70448.0,-59225.0,-59735.0,-66892.0,-56954.0,-57187.0,-48885.0,-49169.0,-46699.0,-32958.0,-15518.0,-156815.0,-52278.0,-45774.0,-100655.0,-61329.0,-89019.0,-48907.0,-60490.0,-57223.0,-65150.0,-69386.0,-72924.0,-87808.0,-96483.0,-111332.0,-110020.0,-117328.0,-101463.0,-162380.0,-105203.0,-76043.0,-82705.0,-85808.0,-128330.0
3.07,Resultado Antes dos Tributos sobre o Lucro,5524.0,868.0,13860.0,15318.0,-20246.0,-14991.0,-97.0,-29260.0,-11674.0,-9678.0,13822.0,3189.0,-6307.0,-30838.0,29210.0,73292.0,-34557.0,-23115.0,-63940.0,-25462.0,-132956.0,-65033.0,-33129.0,49456.0,-30879.0,-41647.0,-36278.0,-45637.0,-64685.0,-160509.0,-174363.0,-207171.0,-211873.0,-440168.0,-173997.0,-227425.0,-168379.0,-168066.0,-67399.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-1121.0,-1536.0,-456.0,-9880.0,-1972.0,-6278.0,-943.0,-49060.0,-348.0,-12860.0,-1749.0,-11008.0,-640.0,-45454.0,-44666.0,-6035.0,-425.0,-2733.0,-176.0,-2777.0,-69822.0,-165.0,-1501.0,-802.0,-2872.0,-3879.0,-1996.0,-7882.0,-74.0,-136.0,-1023.0,-22824.0,-179.0,-15127.0,-225.0,-3072.0,0.0,-99.0,0.0
3.09,Resultado Líquido das Operações Continuadas,6645.0,2404.0,13404.0,124.0,22218.0,8713.0,1040.0,-25630.0,12022.0,3182.0,15571.0,-9151.0,6947.0,2002.0,414.0,48531.0,34982.0,25848.0,64116.0,21571.0,202778.0,65198.0,34630.0,-48654.0,28007.0,37768.0,34282.0,53519.0,64759.0,160645.0,175386.0,229995.0,212052.0,455295.0,173772.0,224803.0,168379.0,168165.0,67399.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53674.0,194362.0,0.0,0.0,-2121.0,0.0,0.0,0.0,-66988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,6645.0,2404.0,13404.0,124.0,22218.0,8713.0,1040.0,-25630.0,12022.0,3182.0,15571.0,-9151.0,6947.0,2002.0,414.0,102205.0,159380.0,25848.0,64116.0,-203620.0,202778.0,65198.0,34630.0,18334.0,28007.0,37768.0,34282.0,53519.0,64759.0,160645.0,175386.0,229995.0,212052.0,455295.0,173772.0,224803.0,168379.0,168165.0,67399.0
3.11.01,Atribuído a Sócios da Empresa Controladora,6667.0,2288.0,13312.0,197.0,-22495.0,-8903.0,-1476.0,25392.0,-12206.0,3044.0,15429.0,14776.0,-6947.0,15896.0,-18312.0,120931.0,159380.0,-25848.0,-64116.0,-23692.0,-202778.0,-65198.0,-34630.0,-18334.0,-28007.0,-37768.0,0.0,65775.0,0.0,-160645.0,0.0,160645.0,0.0,-219667.0,0.0,219667.0,0.0,0.0,0.0
3.11.02,Atribuído a Sócios Não Controladores,-22.0,116.0,92.0,-73.0,277.0,190.0,436.0,238.0,184.0,138.0,142.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.99,Lucro por Ação (Reais/Ação),0.0333,0.0115,0.661,-0.2565,-0.4499,0.043565,-0.0295,0.3298,-0.2441,0.0609,0.3085,0.2956,-0.1389,0.1789,-0.1873,1.3052,3.1876,-0.517,-1.2823,2.4565,-4.0556,-1.3039,-0.6926,0.9732,-0.5601,-0.7554,0.68564,-1.756,-1.2952,-3.2129,-3.5077,-4.5999,-4.241,-9.1059,-3.4754,-4.4961,-3.3676,-16.8165,-6.7399
