cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2.02.01,Empréstimos e Financiamentos,531641.000,499071.000,442376.000,411232.000,409387.000,359958.000,42532.000,41886.000,15282.000,14722.000,13944.000,13749.000,13830.000,10674.000,10772.000,1915463.000,1942723.000,1973049.000,2012260.000,2046594.000,2081924.000,2113524.000,2149251.000,4848.000,4858.000,2101.000,2117.000,2114.000,2125.000,811.000,817.000,69129.000,70054.000,71894.000,97010.000,97252.000,100100.000,99838.000,99087.000,98242.000,95747.000,0.000,90445.000,87795.000,85144.000,13130.000,12358.000,11582.000,10804.000,10025.000,9279.000,8661.000,8042.000
2.02.02,Outras Obrigações,913451.000,934612.000,896693.000,848865.000,1143321.000,753932.000,1436781.000,1439740.000,1443196.000,1445301.000,1446497.000,1447274.000,1451761.000,1450611.000,1452479.000,1423486.000,1427171.000,1422181.000,1422416.000,1423897.000,1424303.000,1424835.000,1425952.000,3582492.000,3582607.000,3482628.000,3451678.000,3300060.000,2789316.000,2789568.000,2791819.000,2789905.000,2790103.000,2790311.000,2790518.000,2790745.000,2790962.000,2791173.000,4904.000,5158.000,5421.000,0.000,1549.000,1704.000,1889.000,246.000,268.000,290.000,278.000,295.000,512.000,542.000,577.000
2.02.03,Tributos Diferidos,511545.000,548793.000,577778.000,547241.000,231499.000,234354.000,0.000,0.000,0.000,0.000,0.000,2134.000,0.000,0.000,0.000,0.000,0.000,148.000,3087.000,0.000,41.000,0.000,0.000,107047.000,118975.000,130780.000,141944.000,142347.000,141175.000,139650.000,137769.000,132213.000,129025.000,126283.000,131455.000,136639.000,139246.000,146898.000,143082.000,143515.000,371799.000,0.000,364712.000,389948.000,423330.000,36349.000,37344.000,38060.000,33786.000,38670.000,49153.000,51099.000,14129.000
2.02.04,Provisões,394821.000,400656.000,397417.000,410070.000,373181.000,442070.000,421.000,562.000,592.000,486.000,868.000,924.000,605.000,442.000,1244.000,1495.000,1785.000,1935.000,1901.000,1784.000,1966.000,2035.000,2524.000,2369.000,6350.000,6963.000,7517.000,7783.000,8912.000,9636.000,9410.000,10931.000,10904.000,10781.000,4975.000,5115.000,10433.000,10977.000,12372.000,12598.000,10981.000,0.000,12404.000,12619.000,8882.000,191.000,191.000,191.000,391.000,1807.000,3881.000,3965.000,4846.000
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.06,Lucros e Receitas a Apropriar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03,Patrimônio Líquido Consolidado,-593935.000,-681235.000,-711519.000,-1027613.000,-1259496.000,-1489986.000,-2239093.000,-2123132.000,-2119139.000,-2178255.000,-2224874.000,-2079468.000,-2104789.000,-2381440.000,-2620134.000,-2838552.000,-2727272.000,-2898962.000,-2962360.000,-3240428.000,-3345900.000,-3393565.000,-3282670.000,-3095055.000,-1900626.000,-1858710.000,-1823062.000,-1791671.000,-1776260.000,-1763936.000,-1748458.000,-1729334.000,-1726440.000,-1712767.000,-1701383.000,-1681284.000,-1659979.000,-1622204.000,1179931.000,1138811.000,1455172.000,0.000,1536910.000,1539702.000,1586841.000,746071.000,757009.000,766309.000,768483.000,783559.000,789920.000,804465.000,738921.000
2.03.01,Capital Social Realizado,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,973764.000,1143691.000,1072594.000,1072594.000,,1072594.000,1072594.000,1072594.000,602351.000,602351.000,602351.000,602351.000,602351.000,602351.000,602351.000,602351.000
2.03.02,Reservas de Capital,3275.000,3275.000,6183.000,10545.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.03,Reservas de Reavaliação,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.04,Reservas de Lucros,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,143720.000,143720.000,143720.000,143721.000,181208.000,181208.000,181208.000,181209.000
2.03.05,Lucros/Prejuízos Acumulados,-1605424.000,-1692724.000,-1725916.000,-2012073.000,-2267710.000,-2463750.000,-3212857.000,-3096896.000,-3092903.000,-3152019.000,-3198638.000,-3053232.000,-3078553.000,-3355204.000,-3593898.000,-3812316.000,-3691605.000,-3863295.000,-3926693.000,-4204761.000,-4308112.000,-4355777.000,-4244882.000,-4057267.000,-2862669.000,-2820753.000,-2785105.000,-2753714.000,-2737901.000,-2725577.000,-2710099.000,-2690975.000,-2688405.000,-2674732.000,-2663348.000,-2643249.000,-2616558.000,-2578783.000,53425.000,83402.000,0.000,,81738.000,84530.000,0.000,0.000,10938.000,20238.000,22411.000,0.000,6361.000,20906.000,-44639.000
2.03.06,Ajustes de Avaliação Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.07,Ajustes Acumulados de Conversão,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.08,Outros Resultados Abrangentes,0.000,0.000,0.000,-34299.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9431.000,-9431.000,-9431.000,-9431.000,-11552.000,-11552.000,-11552.000,-11552.000,-11721.000,-11721.000,-11721.000,-11721.000,-12123.000,-12123.000,-12123.000,-12123.000,-11799.000,-11799.000,-11799.000,-11799.000,-17185.000,-17185.000,-17185.000,-17185.000,382578.000,,382578.000,382578.000,514247.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.09,Participação dos Acionistas Não Controladores,34450.000,34450.000,34450.000,34450.000,34450.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
