cd_conta_padrao,ds_conta_padrao,2015-T2,2015-T3,2015-T4,2016-T1,2016-T2,2016-T3,2016-T4,2017-T1,2017-T2,2017-T3,2017-T4,2018-T1,2018-T2,2018-T3,2018-T4,2019-T1,2019-T2,2019-T3,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,3251513.0,3456509.0,3055882.0,3410069.0,3329633.0,3623152.0,3770185.0,4109364.0,3799723.0,4158622.0,4178630.0,4553966.0,4110565.0,4466926.0,4603698.0,5006420.0,5472740.0,4965496.0,5140791.0,5527389.0,5983812.0,4746363.0,9085407.0,10038733.0,10436845.0,10811310.0,10558769.0,11120118.0,10914051.0,11753184.0,10889112.0,13186127.0,13321333.0,14282389.0,12585880.0,13429435.0,12690432.0,13069011.0,12889324.0,14032607.0,13330716.0,13505669.0
2.03.01,Capital Social Realizado,2798967.0,2798967.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,2756687.0,3678772.0,3678772.0
2.03.02,Reservas de Capital,457720.0,457720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.03,Reservas de Reavaliação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.04,Reservas de Lucros,0.0,0.0,407826.0,407826.0,26743.0,26743.0,973519.0,973519.0,323343.0,323341.0,1350744.0,1350744.0,635066.0,635066.0,1761741.0,1761741.0,1761741.0,989692.0,2162306.0,2162306.0,2162306.0,572306.0,1921484.0,1141484.0,1141484.0,1141484.0,2303797.0,2303797.0,1416426.0,1416426.0,2520163.0,2520163.0,1717119.0,1717119.0,4052165.0,4052165.0,3678772.0,3630535.0,4960660.0,4960660.0,3089871.0,3089871.0
2.03.05,Lucros/Prejuízos Acumulados,0.0,287325.0,0.0,278513.0,532777.0,803755.0,0.0,321230.0,661571.0,976221.0,0.0,370147.0,693601.0,1052415.0,0.0,395438.0,779086.0,1006194.0,0.0,413930.0,807868.0,1215998.0,0.0,431657.0,858291.0,1350427.0,0.0,557038.0,1237826.0,2004076.0,0.0,2345521.0,3214930.0,4189243.0,0.0,855709.0,669472.0,1104422.0,0.0,1050419.0,1148827.0,1329581.0
2.03.06,Ajustes de Avaliação Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5777028.0,5764874.0,5585501.0,5577367.0,5171977.0,5264841.0,5413246.0,5407445.0
2.03.07,Ajustes Acumulados de Conversão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.08,Outros Resultados Abrangentes,-5174.0,-87503.0,0.0,0.0,13426.0,35967.0,0.0,0.0,58122.0,102373.0,0.0,0.0,25211.0,22758.0,0.0,0.0,175226.0,212923.0,0.0,0.0,256951.0,201372.0,4407236.0,5708905.0,5680383.0,5562712.0,5498285.0,5502596.0,5503112.0,5575995.0,5612262.0,5563756.0,5632597.0,5619340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.09,Participação dos Acionistas Não Controladores,0.0,0.0,-108631.0,-32957.0,0.0,0.0,39979.0,57928.0,0.0,0.0,71199.0,76388.0,0.0,0.0,85270.0,92554.0,0.0,0.0,221798.0,194466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
