ticker;empresa;cnpj;codigo_cvm;setor;segmento
CASN4;COMPANHIA CATARINENSE DE ÁGUAS E SANEAMENTO – CASAN;82.508.433/0001-17;82508;Água e Saneamento;Água e Saneamento
SBSP3;COMPANHIA DE SANEAMENTO BÁSICO DO ESTADO DE SÃO PAULO – SABESP;43.776.517/0001-80;4863;Água e Saneamento;Água e Saneamento
CSMG3;COMPANHIA DE SANEAMENTO DE MINAS GERAIS – COPASA MG ;17.281.106/0001-03;17281;Água e Saneamento;Água e Saneamento
SAPR3;COMPANHIA DE SANEAMENTO DO PARANÁ – SANEPAR;76.484.013/0001-45;76484;Água e Saneamento;Água e Saneamento
SAPR4;COMPANHIA DE SANEAMENTO DO PARANÁ – SANEPAR;76.484.013/0001-45;76484;Água e Saneamento;Água e Saneamento
SAPR11;COMPANHIA DE SANEAMENTO DO PARANÁ – SANEPAR;76.484.013/0001-45;76484;Água e Saneamento;Água e Saneamento
IGSN3;IGUA SANEAMENTO S.A.;08.159.965/0001-33;8159;Água e Saneamento;Água e Saneamento
ORVR3;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;11.421.994/0001-36;11421;Água e Saneamento;Água e Saneamento
PCAR3;COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO;47.508.411/0001-56;1805;Comércio e Distribuição;Alimentos
GMAT3;GRUPO MATEUS S.A.;24.990.777/0001-09;24990;Comércio e Distribuição;Alimentos
ASAI3;SENDAS DISTRIBUIDORA S.A.;06.057.223/0001-71;24066;Comércio e Distribuição;Alimentos
CAML3;CAMIL ALIMENTOS S.A.;64.904.295/0001-03;;Alimentos Processados;Alimentos Diversos
ODER3;CONSERVAS ODERICH S.A.;97.191.902/0001-94;;Alimentos Processados;Alimentos Diversos
ODER4;CONSERVAS ODERICH S.A.;97.191.902/0001-94;;Alimentos Processados;Alimentos Diversos
JOPA3;JOSAPAR – JOAQUIM OLIVEIRA S.A. – PARTICIP;87.456.562/0001-22;;Alimentos Processados;Alimentos Diversos
JOPA4;JOSAPAR – JOAQUIM OLIVEIRA S.A. – PARTICIP;87.456.562/0001-22;;Alimentos Processados;Alimentos Diversos
MDIA3;M. DIAS BRANCO S.A. INDÚSTRIA E COMÉRCIO DE ALIMENTOS;07.206.816/0001-15;7206;Alimentos Processados;Alimentos Diversos
RENT3;LOCALIZA RENT A CAR S.A.;16.670.085/0001-55;14109;Diversos;Aluguel de carros
MOVI3;MOVIDA PARTICIPAÇÕES S.A.;21.314.559/0001-66;19569;Diversos;Aluguel de carros
VAMO3;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.;23.373.000/0001-32;22705;Diversos;Aluguel de carros
TASA3;TAURUS ARMAS S.A.;92.781.335/0001-02;;Máquinas e Equipamentos;Armas e Munições
TASA4;TAURUS ARMAS S.A.;92.781.335/0001-02;;Máquinas e Equipamentos;Armas e Munições
PMAM3;PARANAPANEMA S.A.;60.398.369/0004-79;;Siderurgia e Metalurgia;Artefatos de Cobre
HAGA3;HAGA S.A. INDÚSTRIA E COMERCIO;30.540.991/0001-66;;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
HAGA4;HAGA S.A. INDÚSTRIA E COMERCIO;30.540.991/0001-66;;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
MGEL3;MANGELS INDUSTRIAL S.A.;61.065.298/0001-02;;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
MGEL4;MANGELS INDUSTRIAL S.A.;61.065.298/0001-02;;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
PATI3;PANATLANTICA S.A.;92.693.019/0001-89;;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
PATI4;PANATLANTICA S.A.;92.693.019/0001-89;;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
TKNO3;TEKNO S.A. – INDÚSTRIA E COMÉRCIO;33.467.572/0001-34;;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
TKNO4;TEKNO S.A. – INDÚSTRIA E COMÉRCIO;33.467.572/0001-34;;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
SMFT3;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;07.594.978/0001-79;7594;Viagens e Lazer;Atividades Esportivas
MYPK3;IOCHPE MAXION S.A.;61.156.113/0001-75;61156;Automóveis e Motocicletas;Automóveis e Motocicletas
LEVE3;MAHLE-METAL LEVE S.A.;60.476.884/0001-87;;Automóveis e Motocicletas;Automóveis e Motocicletas
PLAS3;PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A.;51.928.174/0001-50;;Automóveis e Motocicletas;Automóveis e Motocicletas
RPAD3;ALFA HOLDINGS S.A;17.167.396/0001-69;;Intermediários Financeiros;Bancos
RPAD5;ALFA HOLDINGS S.A;17.167.396/0001-69;;Intermediários Financeiros;Bancos
RPAD6;ALFA HOLDINGS S.A;17.167.396/0001-69;;Intermediários Financeiros;Bancos
ABCB4;BANCO ABC BRASIL S.A.;28.195.667/0001-06;2;Intermediários Financeiros;Bancos
BMGB4;BANCO BMG S.A.;61.186.680/0001-74;61186;Intermediários Financeiros;Bancos
BBDC3;BANCO BRADESCO S.A.;60.746.948/0001-12;1023;Intermediários Financeiros;Bancos
BBDC4;BANCO BRADESCO S.A.;60.746.948/0001-12;1023;Intermediários Financeiros;Bancos
BPAC3;BANCO BTG PACTUAL S.A.;30.306.294/0001-45;18945;Intermediários Financeiros;Bancos
BPAC5;BANCO BTG PACTUAL S.A.;30.306.294/0001-45;18945;Intermediários Financeiros;Bancos
BPAC11;BANCO BTG PACTUAL S.A.;30.306.294/0001-45;18945;Intermediários Financeiros;Bancos
BSLI3;BANCO DE BRASILIA S.A. – BRB;00.000.208/0001-00;;Intermediários Financeiros;Bancos
BSLI4;BANCO DE BRASILIA S.A. – BRB;00.000.208/0001-00;;Intermediários Financeiros;Bancos
BBAS3;BANCO DO BRASIL S.A.;00.000.000/0001-91;1;Intermediários Financeiros;Bancos
BGIP3;BANCO DO ESTADO DE SERGIPE S.A. – BANESE;13.009.717/0001-46;;Intermediários Financeiros;Bancos
BGIP4;BANCO DO ESTADO DE SERGIPE S.A. – BANESE;13.009.717/0001-46;;Intermediários Financeiros;Bancos
BPAR3;BANCO ESTADO DO PARÁ S.A. – BANPARA;04.913.711/0001-08;;Intermediários Financeiros;Bancos
BRSR3;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A. – BANRISUL;92.702.067/0001-96;;Intermediários Financeiros;Bancos
BRSR5;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A. – BANRISUL;92.702.067/0001-96;;Intermediários Financeiros;Bancos
BRSR6;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A. – BANRISUL;92.702.067/0001-96;;Intermediários Financeiros;Bancos
BNBR3;BANCO DO NORDESTE DO BRASIL S.A.;07.237.373/0001-20;;Intermediários Financeiros;Bancos
BMIN3;BANCO MERCANTIL DE INVESTIMENTOS S.A.;34.169.557/0001-72;;Intermediários Financeiros;Bancos
BMIN4;BANCO MERCANTIL DE INVESTIMENTOS S.A.;34.169.557/0001-72;;Intermediários Financeiros;Bancos
BMEB3;BANCO MERCANTIL DO BRASIL S.A.;17.184.037/0001-10;;Intermediários Financeiros;Bancos
BMEB4;BANCO MERCANTIL DO BRASIL S.A.;17.184.037/0001-10;;Intermediários Financeiros;Bancos
BPAN4;BANCO PAN;59.285.411/0001-13;59285;Intermediários Financeiros;Bancos
PINE3;BANCO PINE S.A.;62.144.175/0001-20;62144;Intermediários Financeiros;Bancos
PINE4;BANCO PINE S.A.;62.144.175/0001-20;62144;Intermediários Financeiros;Bancos
SANB3;BANCO SANTANDER (BRASIL) S.A.;90.400.888/0001-42;1170;Intermediários Financeiros;Bancos
SANB4;BANCO SANTANDER (BRASIL) S.A.;90.400.888/0001-42;1170;Intermediários Financeiros;Bancos
SANB11;BANCO SANTANDER (BRASIL) S.A.;90.400.888/0001-42;1170;Intermediários Financeiros;Bancos
BEES3;BANESTES S.A. – BANCO ESTADUAL DO ESPÍRITO SANTO;28.127.603/0001-78;;Intermediários Financeiros;Bancos
BEES4;BANESTES S.A. – BANCO ESTADUAL DO ESPÍRITO SANTO;28.127.603/0001-78;;Intermediários Financeiros;Bancos
ITUB3;ITAÚ UNIBANCO HOLDING S.A.;60.872.504/0001-23;17663;Intermediários Financeiros;Bancos
ITUB4;ITAÚ UNIBANCO HOLDING S.A.;60.872.504/0001-23;17663;Intermediários Financeiros;Bancos
BMKS3;BICICLETAS MONARK S.A.;56.992.423/0001-90;;Viagens e Lazer;Bicicletas
ESTR3;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;61.082.004/0001-50;;Viagens e Lazer;Brinquedos e Jogos
ESTR4;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;61.082.004/0001-50;;Viagens e Lazer;Brinquedos e Jogos
ALPA3;ALPARGATAS S.A.;61.079.117/0001-05;61079;Tecidos, Vestuário e Calçados;Calçados
ALPA4;ALPARGATAS S.A.;61.079.117/0001-05;61079;Tecidos, Vestuário e Calçados;Calçados
CAMB3;CAMBUCI S.A.;61.088.894/0001-08;61088;Tecidos, Vestuário e Calçados;Calçados
GRND3;GRENDENE S.A.;89.850.341/0001-60;89850;Tecidos, Vestuário e Calçados;Calçados
VULC3;VULCABRAS S.A.;50.926.955/0001-42;50926;Tecidos, Vestuário e Calçados;Calçados
BAUH3;EXCELSIOR ALIMENTOS S.A.;95.426.862/0001-97;;Alimentos Processados;Carnes e Derivados
BAUH4;EXCELSIOR ALIMENTOS S.A.;95.426.862/0001-97;;Alimentos Processados;Carnes e Derivados
MBRF3;MARFRIG GLOBAL FOODS S.A.;03.853.896/0001-40;18600;Alimentos Processados;Carnes e Derivados
BEEF3;MINERVA S.A.;67.620.377/0001-14;67620;Alimentos Processados;Carnes e Derivados
MNPR3;MINUPAR PARTICIPACOES S.A.;90.076.886/0001-40;;Alimentos Processados;Carnes e Derivados
ABEV3;AMBEV S/A;07.526.557/0001-00;20100;Bebidas;Cervejas e Refrigerantes
INTB3;INTELBRAS S.A. INDÚSTRIA DE TELECOMUNICAÇÕES ELETRÔNICA BRASILEIRA;82.901.000/0001-27;82901;Computadores e Equipamentos;Computadores e Equipamentos
MLAS3;MULTILASER INDUSTRIAL S.A.;59.717.553/0001-02;;Computadores e Equipamentos;Computadores e Equipamentos
POSI3;POSITIVO TECNOLOGIA S.A.;81.243.735/0001-48;81243;Computadores e Equipamentos;Computadores e Equipamentos
AZEV3;AZEVEDO E TRAVASSOS S.A.;61.351.532/0001-68;;Construção e Engenharia;Construção Pesada
AZEV4;AZEVEDO E TRAVASSOS S.A.;61.351.532/0001-68;;Construção e Engenharia;Construção Pesada
WIZC3;WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.;42.278.473/0001-03;42278;Previdência e Seguros;Corretoras de Seguros e Resseguros
VBBR3;VIBRA ENERGIA S.A.;34.274.233/0001-02;;Petróleo, Gás e Biocombustíveis;Distribuição de Combustíveis
ALLD3;ALLIED TECNOLOGIA S.A.;20.247.322/0001-47;;Comércio Varejista;Eletrodomésticos
BHIA3;GRUPO CASAS BAHIA S.A.;33.041.260/0652-90;33041;Comércio Varejista;Eletrodomésticos
MGLU3;MAGAZINE LUIZA S.A.;47.960.950/0001-21;14605;Comércio Varejista;Eletrodomésticos
BHIA3;VIA S.A.;33.041.260/0652-90;33041;Comércio Varejista;Eletrodomésticos
WHRL3;WHIRLPOOL S.A.;59.105.999/0001-86;;Utilidades Domésticas;Eletrodomésticos
WHRL4;WHIRLPOOL S.A.;59.105.999/0001-86;;Utilidades Domésticas;Eletrodomésticos
RANI3;IRANI PAPEL E EMBALAGEM S.A.;92.791.243/0001-03;92791;Embalagens;Embalagens
AESO3;AES BRASIL OPERAÇÕES S.A.;00.194.724/0001-13;194;Energia Elétrica;Energia Elétrica
AFLT3;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;10.338.320/0001-00;10338;Energia Elétrica;Energia Elétrica
ALUP3;ALUPAR INVESTIMENTO S/A;08.364.948/0001-38;8364;Energia Elétrica;Energia Elétrica
ALUP4;ALUPAR INVESTIMENTO S/A;08.364.948/0001-38;8364;Energia Elétrica;Energia Elétrica
ALUP11;ALUPAR INVESTIMENTO S/A;08.364.948/0001-38;8364;Energia Elétrica;Energia Elétrica
CBEE3;AMPLA ENERGIA E SERVICOS S.A.;33.050.071/0001-58;33050;Energia Elétrica;Energia Elétrica
AURE3;AUREN ENERGIA S.A.;28.594.234/0001-23;22357;Energia Elétrica;Energia Elétrica
AXIA3;CENTRAIS ELÉTRICAS BRASILEIRAS S.A. – ELETROBRAS ;00.001.180/0001-26;2437;Energia Elétrica;Energia Elétrica
AXIA5;CENTRAIS ELÉTRICAS BRASILEIRAS S.A. – ELETROBRAS ;00.001.180/0001-26;2437;Energia Elétrica;Energia Elétrica
AXIA6;CENTRAIS ELÉTRICAS BRASILEIRAS S.A. – ELETROBRAS ;00.001.180/0001-26;2437;Energia Elétrica;Energia Elétrica
CLSC3;CENTRAIS ELÉTRICAS DE SANTA CATARINA S.A.;83.878.892/0001-55;83878;Energia Elétrica;Energia Elétrica
CLSC4;CENTRAIS ELÉTRICAS DE SANTA CATARINA S.A.;83.878.892/0001-55;83878;Energia Elétrica;Energia Elétrica
COMR3;COMERC PARTICIPAÇÕES S.A.;25.369.840/0001-57;;Energia Elétrica;Energia Elétrica
CEEB3;COMPANHIA DE ELETRICIDADE EST. DA BAHIA – COELBA;15.139.629/0001-94;15139;Energia Elétrica;Energia Elétrica
CEEB5;COMPANHIA DE ELETRICIDADE EST. DA BAHIA – COELBA;15.139.629/0001-94;15139;Energia Elétrica;Energia Elétrica
GPAR3;COMPANHIA CELG DE PARTICIPAÇÕES – CELGPAR;08.560.444/0001-93;8560;Energia Elétrica;Energia Elétrica
CEBR3;COMPANHIA ENERGÉTICA DE BRASÍLIA;00.070.698/0001-11;70;Energia Elétrica;Energia Elétrica
CEBR5;COMPANHIA ENERGÉTICA DE BRASÍLIA;00.070.698/0001-11;70;Energia Elétrica;Energia Elétrica
CEBR6;COMPANHIA ENERGÉTICA DE BRASÍLIA;00.070.698/0001-11;70;Energia Elétrica;Energia Elétrica
CMIG3;COMPANHIA ENERGÉTICA DE MINAS GERAIS – CEMIG;17.155.730/0001-64;1035;Energia Elétrica;Energia Elétrica
CMIG4;COMPANHIA ENERGÉTICA DE MINAS GERAIS – CEMIG;17.155.730/0001-64;1035;Energia Elétrica;Energia Elétrica
COCE3;COMPANHIA ENERGÉTICA DO CEARÁ – COELCE;07.047.251/0001-70;7047;Energia Elétrica;Energia Elétrica
COCE5;COMPANHIA ENERGÉTICA DO CEARÁ – COELCE;07.047.251/0001-70;7047;Energia Elétrica;Energia Elétrica
COCE6;COMPANHIA ENERGÉTICA DO CEARÁ – COELCE;07.047.251/0001-70;7047;Energia Elétrica;Energia Elétrica
CEED3;COMPANHIA ESTADUAL DE DISTRIBUIIÇÃO DE ENERGIA ELÉTRICA – CEEE-D;08.467.115/0001-00;8467;Energia Elétrica;Energia Elétrica
CEED4;COMPANHIA ESTADUAL DE DISTRIBUIIÇÃO DE ENERGIA ELÉTRICA – CEEE-D;08.467.115/0001-00;8467;Energia Elétrica;Energia Elétrica
CPLE3;COMPANHIA PARAENSE DE ENERGIA – COPEL;76.483.817/0001-20;1121;Energia Elétrica;Energia Elétrica
CPLE5;COMPANHIA PARAENSE DE ENERGIA – COPEL;76.483.817/0001-20;1121;Energia Elétrica;Energia Elétrica
CPLE6;COMPANHIA PARAENSE DE ENERGIA – COPEL;76.483.817/0001-20;1121;Energia Elétrica;Energia Elétrica
ISAE3;ISA ENERGIA BRASIL S.A;02.998.611/0001-04;2998;Energia Elétrica;Energia Elétrica
ISAE4;ISA ENERGIA BRASIL S.A;02.998.611/0001-04;2998;Energia Elétrica;Energia Elétrica
CPFE3;CPFL ENERGIA S.A.;02.429.144/0001-93;2429;Energia Elétrica;Energia Elétrica
EKTR3;ELEKTRO REDES S.A.;02.328.280/0001-97;2328;Energia Elétrica;Energia Elétrica
EKTR4;ELEKTRO REDES S.A.;02.328.280/0001-97;2328;Energia Elétrica;Energia Elétrica
EMAE3;EMPRESA METROPOLITANA DE ÁGUAS E ENERGIA S.A. – EMAE;02.302.101/0001-42;;Energia Elétrica;Energia Elétrica
EMAE4;EMPRESA METROPOLITANA DE ÁGUAS E ENERGIA S.A. – EMAE;02.302.101/0001-42;;Energia Elétrica;Energia Elétrica
ENMT3;ENERGISA MATO GROSSO – DISTRIBUIDORA DE ENERGIA S/A;03.467.321/0001-99;3467;Energia Elétrica;Energia Elétrica
ENMT4;ENERGISA MATO GROSSO – DISTRIBUIDORA DE ENERGIA S/A;03.467.321/0001-99;3467;Energia Elétrica;Energia Elétrica
ENGI3;ENERGISA S.A.;00.864.214/0001-06;2437;Energia Elétrica;Energia Elétrica
ENGI4;ENERGISA S.A.;00.864.214/0001-06;2437;Energia Elétrica;Energia Elétrica
ENGI11;ENERGISA S.A.;00.864.214/0001-06;2437;Energia Elétrica;Energia Elétrica
ENEV3;ENEVA S.A.;04.423.567/0001-21;4423;Energia Elétrica;Energia Elétrica
EGIE3;ENGIE BRASIL ENERGIA S.A.;02.474.103/0001-19;2437;Energia Elétrica;Energia Elétrica
EQTL3;EQUATORIAL ENERGIA S.A.;03.220.438/0001-73;20540;Energia Elétrica;Energia Elétrica
EQPA3;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;04.895.728/0001-80;4895;Energia Elétrica;Energia Elétrica
EQPA5;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;04.895.728/0001-80;4895;Energia Elétrica;Energia Elétrica
EQPA6;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;04.895.728/0001-80;4895;Energia Elétrica;Energia Elétrica
LIGT3;LIGHT S.A.;03.378.521/0001-75;;Energia Elétrica;Energia Elétrica
NEOE3;NEOENERGIA S.A.;01.083.200/0001-18;1083;Energia Elétrica;Energia Elétrica
REDE3;REDE ENERGIA PARTICIPAÇÕES S.A.;61.584.140/0001-49;61584;Energia Elétrica;Energia Elétrica
RNEW3;RENOVA ENERGIA S.A.;08.534.605/0001-74;8534;Energia Elétrica;Energia Elétrica
RNEW4;RENOVA ENERGIA S.A.;08.534.605/0001-74;8534;Energia Elétrica;Energia Elétrica
RNEW11;RENOVA ENERGIA S.A.;08.534.605/0001-74;8534;Energia Elétrica;Energia Elétrica
GEPA3;RIO PARANAPANEMA ENERGIA S.A.;02.998.301/0001-81;2998;Energia Elétrica;Energia Elétrica
GEPA4;RIO PARANAPANEMA ENERGIA S.A.;02.998.301/0001-81;2998;Energia Elétrica;Energia Elétrica
TAEE3;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A – TAESA;07.859.971/0001-30;7859;Energia Elétrica;Energia Elétrica
TAEE4;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A – TAESA;07.859.971/0001-30;7859;Energia Elétrica;Energia Elétrica
TAEE11;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A – TAESA;07.859.971/0001-30;7859;Energia Elétrica;Energia Elétrica
SOND3;SONDOTÉCNICA ENGENHARIA SOLOS S.A.;33.386.210/0001-19;;Construção e Engenharia;Engenharia Consultiva
SOND5;SONDOTÉCNICA ENGENHARIA SOLOS S.A.;33.386.210/0001-19;;Construção e Engenharia;Engenharia Consultiva
SOND6;SONDOTÉCNICA ENGENHARIA SOLOS S.A.;33.386.210/0001-19;;Construção e Engenharia;Engenharia Consultiva
BALM3;BAUMER S.A.;61.374.161/0001-30;;Equipamentos;Equipamentos
BALM4;BAUMER S.A.;61.374.161/0001-30;;Equipamentos;Equipamentos
LMED3;LIFEMED INDUSTRIAL EQUIP. DE ART. MÉD. HOSP. S.A.;02.357.251/0001-53;;Equipamentos;Equipamentos
LUPA3;LUPATECH S.A.;89.463.822/0001-12;;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços
OPCT3;OCEANPACT SERVIÇOS MARÍTIMOS S.A.;09.114.805/0001-30;9114;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços
OSXB3;OSX BRASIL S.A.;09.112.685/0001-32;;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços
ALOS3;ALLOS S.A;05.878.397/0001-32;5878;Exploração de Imóveis;Exploração de Imóveis
HBTS3;CIA HABITASUL DE PARTICIPAÇÕES;87.762.563/0001-03;;Exploração de Imóveis;Exploração de Imóveis
HBTS5;CIA HABITASUL DE PARTICIPAÇÕES;87.762.563/0001-03;;Exploração de Imóveis;Exploração de Imóveis
HBTS6;CIA HABITASUL DE PARTICIPAÇÕES;87.762.563/0001-03;;Exploração de Imóveis;Exploração de Imóveis
GSHP3;GENERAL SHOPPING E OUTLETS DO BRASIL S.A.;08.764.621/0001-53;8764;Exploração de Imóveis;Exploração de Imóveis
HBRE3;HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S/A;14.785.152/0001-51;14785;Exploração de Imóveis;Exploração de Imóveis
IGTI3;IGUATEMI S.A.;60.543.816/0001-93;60543;Exploração de Imóveis;Exploração de Imóveis
IGTI4;IGUATEMI S.A.;60.543.816/0001-93;60543;Exploração de Imóveis;Exploração de Imóveis
IGTI11;IGUATEMI S.A.;60.543.816/0001-93;60543;Exploração de Imóveis;Exploração de Imóveis
LOGG3;LOG COMMERCIAL PROPERTIES;09.041.168/0001-10;9041;Exploração de Imóveis;Exploração de Imóveis
MULT3;MULTIPLAN – EMPREENDIMENTOS IMOBILIÁRIOS S.A.;07.816.890/0001-53;7816;Exploração de Imóveis;Exploração de Imóveis
NORD3;NORDON INDÚSTRIAS METALÚRGICAS S.A.;60.884.319/0001-59;;Exploração de Imóveis;Exploração de Imóveis
SCAR3;SÃO CARLOS EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;29.780.061/0001-09;29780;Exploração de Imóveis;Exploração de Imóveis
SYNE3;SYN PROP E TECH S.A.;08.801.621/0001-86;;Exploração de Imóveis;Exploração de Imóveis
MOTV3;Motiva Infraestrutura de Mobilidade S.a.;02.846.056/0001-97;19720;Transporte;Exploração de Rodovias
CRTE3;CONCESSIONÁRIA RIO-TERESÓPOLIS S.A.;00.938.574/0001-05;;Transporte;Exploração de Rodovias
CRTE5;CONCESSIONÁRIA RIO-TERESÓPOLIS S.A.;00.938.574/0001-05;;Transporte;Exploração de Rodovias
ECOR3;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;04.149.454/0001-80;19577;Transporte;Exploração de Rodovias
TPIS3;TPI – TRIUNFO PARTICIPAÇÕES E INVESTIMENTOS S.A.;03.014.553/0001-91;;Transporte;Exploração de Rodovias
BRAV3;BRAVA ENERGIA S.A;12.091.809/0001-55;20788;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
CSAN3;COSAN S.A.;50.746.577/0001-15;22713;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
PETR3;PETRÓLEO BRASILEIRO S.A. PETROBRAS;33.000.167/0001-01;9512;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
PETR4;PETRÓLEO BRASILEIRO S.A. PETROBRAS;33.000.167/0001-01;9512;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
RECV3;PETRORECÔNCAVO S.A.;03.342.704/0001-30;20516;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
PRIO3;PRIO S.A. – PETRORIO;10.629.105/0001-68;22187;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
RAIZ4;RAIZEN S.A.;33.453.598/0001-23;22322;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
RPMG3;REFINARIA DE PETRÓLEOS MANGUINHOS S.A.;33.412.081/0001-96;20516;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
UGPA3;ULTRAPAR PARTICIPAÇÕES S.A.;33.256.439/0001-39;521;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
FHER3;FERTILIZANTES HERINGER S.A.;22.266.175/0001-88;;Químicos;Fertilizantes e Defensivos
NUTR3;NUTRIPLANT INDÚSTRIA E COMÉRCIO S.A.;51.128.999/0001-90;;Químicos;Fertilizantes e Defensivos
VITT3;VITTIA FERTILIZANTES BIOLÓGICOS S.A.;45.365.558/0001-09;;Químicos;Fertilizantes e Defensivos
CATA3;CIA INDUSTRIAL CATAGUASES;19.526.748/0001-50;;Tecidos, Vestuário e Calçados;Fios e Tecidos
CATA4;CIA INDUSTRIAL CATAGUASES;19.526.748/0001-50;;Tecidos, Vestuário e Calçados;Fios e Tecidos
CTNM3;CIA TECIDOS NORTE DE MINAS – COTEMINAS;22.677.520/0001-76;;Tecidos, Vestuário e Calçados;Fios e Tecidos
CTNM4;CIA TECIDOS NORTE DE MINAS – COTEMINAS;22.677.520/0001-76;;Tecidos, Vestuário e Calçados;Fios e Tecidos
CTSA3;CIA TECIDOS SANTANENSE;21.255.567/0001-89;;Tecidos, Vestuário e Calçados;Fios e Tecidos
CTSA4;CIA TECIDOS SANTANENSE;21.255.567/0001-89;;Tecidos, Vestuário e Calçados;Fios e Tecidos
CEDO3;COMPANHIA FIAÇÃO TECIDOS CEDRO CACHOEIRA;17.245.234/0001-00;;Tecidos, Vestuário e Calçados;Fios e Tecidos
CEDO4;COMPANHIA FIAÇÃO TECIDOS CEDRO CACHOEIRA;17.245.234/0001-00;;Tecidos, Vestuário e Calçados;Fios e Tecidos
DOHL3;DOHLER S.A.;84.683.408/0001-03;;Tecidos, Vestuário e Calçados;Fios e Tecidos
