ticker;empresa;cnpj;codigo_cvm;setor;segmento;sede;descricao
ORVR3;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;11.421.994/0001-36;11421.0;Água e Saneamento;Água e Saneamento;Avenida das Nacoes Unidas, 12.901 8 andar, Torre Oest, Brooklin Paulista, SAO PAULO, SAO PAULO, 04.578-910 BR;"A Orizon Valorizacao de Residuos SA é uma empresa com sede no Brasil que atua no setor de tratamento de resíduos. As atividades da Empresa estão divididas em quatro segmentos: Destinação final de resíduos sólidos; Certificados de energia, biogás e emissões reduzidas; Processamento de resíduos; e Engenharia Ambiental. Por meio do segmento de destinação final de resíduos sólidos, a empresa administra estações de tratamento e disposição de resíduos. O segmento de certificados de energia, biogás e emissões reduzidas tem como foco o desenvolvimento de usinas bioenergéticas para obtenção e tratamento de gases de decomposição de resíduos e também é responsável pela comercialização de créditos de carbono no mercado livre. O segmento de Processamento de Resíduos desenvolve plantas para o beneficiamento de materiais industriais, para a reciclagem de resíduos sólidos urbanos e para a queima direta de resíduos para geração de energia. O segmento de Engenharia Ambiental presta serviços de recuperação de áreas degradadas, remediação e monitoramento ambiental, entre outros."
"SAPR11;SAPR3;SAPR4";COMPANHIA DE SANEAMENTO DO PARANÁ – SANEPAR;76.484.013/0001-45;76484.0;Água e Saneamento;Água e Saneamento;Rua Engenheiros Reboucas, 1376, Reboucas, CURITIBA, PARANA, 80.215-900 BR;A Companhia de Saneamento do Paraná - Sanepar, anteriormente Companhia de Água e Esgotos do Paraná - Agepar, é uma empresa brasileira que atua na prestação de serviços de saneamento básico. A empresa atua sobretudo na distribuição de água, bem como na coleta e tratamento de esgoto. A empresa também se dedica a estudos, projetos e expansão de redes de distribuição de água, redes de coleta e infraestrutura de tratamento de esgoto. Além disso, a Companhia de Saneamento do Paraná - Sanepar fornece coleta e processamento de resíduos sólidos. Também presta serviços de consultoria e assistência técnica. A empresa colabora com agências e entidades governamentais e municipais. A Companhia de Saneamento do Paraná - Sanepar atua em 346 municípios.
SBSP3;COMPANHIA DE SANEAMENTO BÁSICO DO ESTADO DE SÃO PAULO – SABESP;43.776.517/0001-80;4863.0;Água e Saneamento;Água e Saneamento;Rua Costa Carvalho, n 300 Diretoria F, Pinheiros, SAO PAULO, SAO PAULO, 05.429-900 BR;Companhia de Saneamento Basico do Estado de São Paulo - SABESP é uma provedora de serviços de água e esgoto. A Companhia presta serviços de água e esgoto a uma gama de clientes residenciais, comerciais, industriais e governamentais em mais de 375 municípios do estado de São Paulo, incluindo a cidade de São Paulo. Os segmentos da Companhia incluem água e esgoto. As atividades da Companhia compreendem abastecimento de água, serviços de esgoto sanitário, serviços de gestão e drenagem de águas pluviais urbanas, serviços de limpeza urbana, serviços de gestão de resíduos sólidos e atividades afins, incluindo o planejamento, operação, manutenção e comercialização de energia, e a comercialização de serviços, produtos, benefícios e direitos que direta ou indiretamente advêm de seus ativos, operações e atividades.
"BAUH3;BAUH4";EXCELSIOR ALIMENTOS S.A.;95.426.862/0001-97;;Alimentos Processados;Carnes e Derivados;Rua Barao do Arroio Grande N/A, Arroio Grande, SANTA CRUZ DO SUL, RIO GRANDE DO SUL, 96.830-504 BR;A Excelsior Alimentos S.A., anteriormente denominada Baumhardt Irmãos SA, é uma empresa brasileira que atua no setor de processamento de alimentos. A Empresa está envolvida principalmente na produção e venda de produtos de carne. Os produtos da Empresa incluem presunto, salame, mortadela, linguiças, salsichas e patês, entre outros. A Empresa também fornece refeições preparadas, como pizzas e lasanhas. A Empresa organiza seus produtos alimentícios em dois segmentos: Processado Resfriado e Processado Congelado. A Empresa atua nos estados brasileiros do Rio Grande do Sul, Santa Catarina e Paraná. Em 30 de setembro de 2013, a Marfrig Alimentos SA (Marfrig) concluiu a transferência da participação de 64,57% da Excelsior Alimentos S.A. para a JBS S.A.
BEEF3;MINERVA S.A.;67.620.377/0001-14;67620.0;Alimentos Processados;Carnes e Derivados;Av. Antonio Manco Bernardes s/n, Chacara Minerva, BARRETOS, SAO PAULO, 14.781-545 BR;A Minerva SA é uma empresa sediada no Brasil que tem por objetivo principal a produção e comercialização de carne bovina. As atividades da Empresa estão divididas em dois segmentos de negócio: Carne e Pecuária. A divisão Carnes atua na produção e comercialização de carne bovina in natura. Este segmento inclui o processamento de carne bovina, suína e de aves, bem como a produção e comercialização de subprodutos do gado, como peles ou miúdos. A divisão Pecuária tem como foco a exportação de gado vivo. A Companhia opera frigoríficos no Brasil, Paraguai Uruguai, Colômbia e Argentina, planta de processamento de carnes no Brasil e duas plantas de processamento de proteínas na Argentina. A Firma possui diversas subsidiárias, como Minerva Dawn Farms Industria e Comercio de Proteinas SA, CSAP Companhia Sul Americana de Pecuaria SA e Athena Foods SA, entre outras.
CAML3;CAMIL ALIMENTOS S.A.;64.904.295/0001-03;;Alimentos Processados;Alimentos Diversos;Av. Doutora Ruth Cardoso 8501, 12 andar, Pinheiros, Eldorado Business Tower, SAO PAULO, SAO PAULO, 05.425-070 BR;"A Camil Alimentos SA é uma empresa sediada no Brasil e dedica-se principalmente ao setor de processamento de alimentos. A Companhia tem como foco a fabricação e comercialização de arroz, bolacha de arroz, feijão, ervilha, grão de bico e sementes de lentilha, farelo de soja, pipoca, açúcar e frutos do mar, entre outros. Os produtos da Companhia são distribuídos sob várias marcas, incluindo Camil, Pescador, Coqueiro, União, Barra, Dolce, Namorado, Butui, Bonzao, Neve e Ducula no Brasil; Saman no Uruguai; Tucapel no Chile, bem como Costeno e Paisana no Peru. A Companhia opera unidades de processamento de grãos, fábricas de processamento de pescado e usinas de açúcar. A Companhia controla diversas subsidiárias, como a Camil Internacional Argentina SA, a Carreteiro Indústria e Comércio de Alimentos Ltda e a Ciclo Logística Ltda."
JALL3;JALLES MACHADO S.A.;02.635.522/0001-95;;Alimentos Processados;Açucar e Alcool;Fazenda Sao Pedro - Rodovia GO-080 - Km 185, Zona Rural - Caixa Postal 04, GOIANESIA, GOIAS, 76.388-899 BR;"A Jalles Machado SA é uma empresa sediada no Brasil que se dedica principalmente à produção de açúcar e etanol. As atividades da Empresa estão divididas em dois segmentos operacionais: Açúcar-Energia e Borracha Natural. O segmento Sucroenergético está focado na produção de açúcar orgânico, branco e de Very High Polarization (VHP); etanol anidro, hidratado e orgânico; e outros derivados do processamento da cana-de-açúcar, como produtos de limpeza e fermento seco. O segmento Sucroenergético inclui também a cogeração de energia elétrica, utilizando o bagaço da cana-de-açúcar como fonte de energia térmica, mecânica e elétrica. O segmento Borracha Natural consiste no cultivo da seringueira e na produção de látex e seus derivados. A Companhia comercializa açúcar e produtos de limpeza sob a marca Itaja."
"JOPA3;JOPA4";JOSAPAR – JOAQUIM OLIVEIRA S.A. – PARTICIP;87.456.562/0001-22;;Alimentos Processados;Alimentos Diversos;Avenida Carlos Gomes, 651, 5 Andar, Bairro Boa Vista,, PORTO ALEGRE, RIO GRANDE DO SUL, 90.480-003 BR;A Josapar Joaquim Oliveira SA Participações, anteriormente Joaquim Oliveira SA Participações (Josapar), é uma empresa sediada no Brasil e se dedica principalmente à produção e venda de produtos alimentícios. A Companhia fabrica arroz, feijão, refeições semipreparadas, leite em pó com proteína de soja isolada e fertilizante. A Josapar comercializa os seus produtos sob diversas marcas, incluindo o Arroz Tio João, o Arroz Tio Mingote, o Arroz Meu Biju, o Feijao Meu Biju, a Cozinha Facil Tio João, a Cozinha e Sabor, o Suprasoy, o Supremo e o Organo Mineral NPK1. Adicionalmente, através da sua controlada Real Empreendimentos SA, a Companhia atua no comércio e administração de imóveis. Opera através da Josapar International e da Real Empreendimentos SA.
MBRF3;MARFRIG GLOBAL FOODS S.A.;03.853.896/0001-40;18600.0;Alimentos Processados;Carnes e Derivados;Av. Queiroz Filho, 1560, Blc 5, Sl. 301, Vila Hamburguesa, SAO PAULO, SAO PAULO, 05.319-000 BR;A Marfrig Global Foods S.A., antiga Marfrig Alimentos S.A., é uma empresa estabelecida no Brasil, que atua principalmente no processamento e na distribuição de carne. As atividades da empresa são divididas em dois segmentos operacionais: Marfrig Beef e Keystone. O segmento Marfrig Beef é responsável pelo abate, fabricação, distribuição, importação, exportação e marketing de carne bovina e ovina. A divisão Keystone concentra-se na produção e no desenvolvimento de alimentos multiproteicos, para atender a cadeias de restaurantes, inclusive McDonald's, Subway, ConAgra Foods, Campbell's Soup, KFC, Taco Bell, Wendy's, Heinz e Burger King, dentre outros. Vende no varejo sob várias marcas, como Pampeano, La Morocha, Montana, Hamby, Bernina, Bassi, GJ, Angus, South Lamb e Tacuarembo. A empresa opera mundialmente nas Américas, na Ásia, Europa e Oceania.
MDIA3;M. DIAS BRANCO S.A. INDÚSTRIA E COMÉRCIO DE ALIMENTOS;07.206.816/0001-15;7206.0;Alimentos Processados;Alimentos Diversos;Rod Br 116 KM 18 S/N, Jabuti, EUSEBIO, CEARA, 61.760-000 BR;A M Dias Branco SA Industria e Comercio de Alimentos é uma empresa brasileira que atua principalmente na indústria de processamento de alimentos. A empresa tem como foco a industrialização, venda e distribuição de produtos alimentícios derivados do trigo, principalmente biscoitos, massas e farinha de trigo. Suas atividades incluem ainda a fabricação, venda e distribuição de gorduras vegetais e margarinas, bolos, misturas de bolos, torradas embaladas e lanches. A empresa atua através de um processo de produção integrado e vertical, produzindo farinha e gorduras vegetais utilizadas para a fabricação de biscoitos e massas. O portfólio de marcas da Companhia inclui Adria, basilar, Bonsabor, Fortaleza, Isabela, pilar, Predilleto, Richester, Salsito, Treloso, Vitarella e Zabet, entre outros. Possui uma série de unidades de produção e centros de distribuição no Brasil. A Companhia é uma subsidiária da Dibra Fundo de Investimento em Participações.
MNPR3;MINUPAR PARTICIPACOES S.A.;90.076.886/0001-40;;Alimentos Processados;Carnes e Derivados;Av. Senador Alberto Pasqualini, 1535, Sao Cristovao, LAJEADO, RIO GRANDE DO SUL, 95.913-162 BR;"A MINUPAR PARTICIPACOES S.A., anteriormente Minuano - Exportação Participação e Administração Ltda., é uma holding brasileira que atua sobretudo no processamento de alimentos. A empresa divide seus negócios em três segmentos principais: Serviços de Processamento; Salsichas e Processados; e Produtos Refrigerados. No segmento Serviços de Processamento, a empresa se dedica à prestação de serviços de processamento de alimentos a terceiros, incluindo abate e desossa de aves, produção de ração animal e ovos para incubação, entre outros. No segmento Salsichas e Processados, se dedica ao processamento e venda de ovos e salsichas. No segmento Produtos Refrigerados, se dedica ao abate de suas próprias aves. Os produtos da empresa são distribuídos no Brasil e exportados para o Oriente Médio, Europa, Ásia, África, América Central e América do Sul. Em 31 de dezembro de 2011, a empresa operava seis plantas localizadas nos estados brasileiros do Rio Grande do Sul e Santa Catarina."
"ODER3;ODER4";CONSERVAS ODERICH S.A.;97.191.902/0001-94;;Alimentos Processados;Alimentos Diversos;Rua Oderich, 807, RIO GRANDE DO SUL, 95.760-000 BR;A Conservas Oderich S.A. é uma empresa brasileira que atua na indústria alimentícia. A Empresa atua essencialmente na produção, importação e exportação de produtos alimentícios, sobretudo alimentos enlatados, carne e seus derivados. A Empresa também atua na exploração agrícola e serviços de armazenamento. Além disso, a Empresa fabrica embalagens metálicas para alimentos, tintas e solventes. O portfólio de produtos da Empresa inclui carnes enlatadas, legumes, compotas de frutas, molhos, picles, maionese, produtos derivados do tomate e especiarias, entre outros. A Conservas Oderich S.A. oferece seus produtos sob a marca Oderich. A Empresa possui três fábricas de processamento de alimentos, localizadas nas cidades brasileiras de Sebastião do Cai, Pelotas e Orizona, além de uma fábrica de embalagens metálicas na cidade de Eldorado do Sul.
SMTO3;SÃO MARTINHO S.A.;51.466.860/0001-56;20362.0;Alimentos Processados;Açucar e Alcool;Fazenda Sao Martinho, S/Nr., Zona Rural, PRADOPOLIS, SAO PAULO, 14.850-000 BR;São Martinho SA é uma empresa brasileira de açúcar e energia. As operações da Companhia incluem a produção e comercialização de açúcar, etanol, eletricidade e outros produtos da cana-de-açúcar. As operações da São Martinho SA compreendem quatro fábricas: São Martinho, Santa Cruz e Iracema, bem como Boa Vista. O portfólio da empresa inclui vários tipos de açúcar, incluindo açúcar branco, de polaridade muito alta e muito alta polaridade (VHP e VHP). São Martinho SA produz etanol hidratado (para veículos movidos a etanol), etanol anidro (usado como aditivo de combustível) e etanol industrial para outros fins. Também gera eletricidade a partir do bagaço de cana-de-açúcar. A Companhia possui várias subsidiárias, incluindo a Sao Martinho Terras Agricolas SA, Sao Martinho Terras Imobiliarias SA, Bioenergia Sao Martinho Ltda e Bioenergética Santa Cruz SA.
LEVE3;MAHLE-METAL LEVE S.A.;60.476.884/0001-87;;Automóveis e Motocicletas;Automóveis e Motocicletas;Av. Ernst MAHLE, 2000, Mombaca, MOGI GUACU, SAO PAULO, 13.849-050 BR;A MAHLE Metal Leve S.A. é uma empresa brasileira dedicada essencialmente à fabricação de peças para motores automotivos. As atividades da Empresa se dividem em dois segmentos comerciais: Componentes do motor e Filtros. A divisão Componentes do motor produz peças para motores de combustão interna e veículos automotores, como anéis, sensores, balancins, varetas, pedivelas, buchas, mangas do cilindro, tampas de rolamento, conjuntos de balancins, coroas, injetores, sincronizadores, juntas universais, eixos, engrenagens, guias e assentos de válvula, pistões, impulsores de bombas de água e óleo, e eixos e polias do pistão. A divisão Filtros fabrica vários tipos de filtros, como filtros de combustível, ar, óleo, de cabine e prensa, usados em veículos, e aplicados na indústria, estações de serviços automobilísticos, transporte de passageiros e de carga, terraplanagem, terminais de pesca e fazendas. A Empresa é indiretamente controlada pela Mahle Industriebeteiligungen GmbH.
MYPK3;IOCHPE MAXION S.A.;61.156.113/0001-75;61156.0;Automóveis e Motocicletas;Automóveis e Motocicletas;Rua Othon Barcellos, n 83, Itagacaba, CRUZEIRO, SAO PAULO, 12.730-900 BR;A Iochpe-Maxion S.A. está envolvida na produção de rodas automotivas. A Empresa é produtora de componentes estruturais automotivos nas Américas e produtora de equipamentos ferroviários no Brasil. Suas operações estão focadas no segmento automotivo, divididas em segmentos de rodas e componentes estruturais. A Empresa opera por meio de três divisões: Maxion Wheels, Componentes Estruturais Maxion e AmstedMaxion. Na Maxion Wheels, a Empresa produz e vende uma gama de rodas de aço para veículos leves e comerciais, e máquinas agrícolas e rodas de alumínio para veículos leves. No segmento de Componentes Estruturais Maxion, ela produz trilhos laterais, cruzamentos e chassis completos para veículos comerciais e componentes estruturais para veículos leves. No segmento de AmstedMaxion (uma joint venture), a Empresa produz veículos de carga, rodas ferroviárias e fundições, bem como fundições industriais. As operações da Empresa e de suas subsidiárias são realizadas em mais de 30 unidades localizadas no Brasil e no exterior.
PLAS3;PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A.;51.928.174/0001-50;;Automóveis e Motocicletas;Automóveis e Motocicletas;Rua Wilhelm Winter, 300,sala 1, Distrito Industrial, JUNDIAI, SAO PAULO, 13.213-000 BR;A Plascar Participações Industriais S.A., anteriormente denominada OSA SA Organização, Sistemas e Aplicações, é uma holding brasileira que atua na indústria automotiva. Por meio de sua subsidiária Plascar Ltda., a Empresa fabrica e vende peças e partes relacionadas ao acabamento interno e externo de veículos automotores. A linha de produtos da Empresa inclui para-choques, painéis de instrumentos, difusores de ar, porta-copos, portas laterais, bolsos para portas e tapetes, entre outros. Além disso, a Empresa está envolvida na fabricação de produtos não automotivos, como carrinhos de supermercado, caixas multiuso, paletes ecológicos e móveis. Em 31 de dezembro de 2011, a Empresa operava cinco fábricas localizadas nas cidades de Jundiaí e Pindamonhangaba, no estado de São Paulo, e Varginha, Betim e Camanducaia, no estado de Minas Gerais.
ABEV3;AMBEV S/A;07.526.557/0001-00;20100.0;Bebidas;Cervejas e Refrigerantes;Rua Dr. Renato Paes de Barros, 1.017, 4 andar, Itaim Bibi, SAO PAULO, SAO PAULO, 04.530-001 BR;"A Ambev SA, anteriormente Inbev Participações Societarias SA, é uma empresa brasileira com sede no setor cervejeiro. A Companhia produz, distribui e vende cerveja, refrigerantes com gás (CSDs) e outras bebidas não alcoólicas e não carbonatadas (NANC) nas Américas. As atividades da Companhia estão divididas em três segmentos: América Latina do Norte, incluindo venda de cerveja, refrigerantes e bebidas NANC no Brasil, além de operações na República Dominicana, São Vicente, Antígua, Dominica, Cuba, Guatemala, El Salvador, Honduras, Nicarágua, Barbados e Panamá; América Latina Sul, distribuindo produtos na Argentina, Bolívia, Paraguai, Uruguai, Chile; e Canadá, representado pelas operações da Labatt, que inclui vendas no Canadá e algumas exportações para o mercado dos EUA. A Companhia comercializa produtos com várias marcas, como Adriatica, Brahma, Leffe, Budweiser, Corona, PepsiCo e Lipton. É uma subsidiária da Interbrew International BV."
ASAI3;SENDAS DISTRIBUIDORA S.A.;06.057.223/0001-71;24066.0;Comércio e Distribuição;Alimentos;Av. Ayrton Senna, 6.000, Lote 2 Pal 48959, Anexo A, Jacarepagua, RIO DE JANEIRO, RIO DE JANEIRO, 22.775-005 BR;A SendAs Distribuidora SA é uma empresa sediada no Brasil que atua principalmente no setor de varejo de alimentos. A Empresa opera por meio de um segmento operacional - cash & carry, que consiste na venda de produtos alimentícios e não alimentícios para varejistas de alimentos (incluindo restaurantes, pizzarias e cafeterias), varejistas convencionais (como mercearias, supermercados e bares), bem como usuários finais (incluindo escolas, pequenas empresas, instituições religiosas, hospitais e hotéis), através da marca Assai. A oferta da empresa inclui mais de 9 000 itens de mercearia, alimentos, perecíveis, bebidas, produtos de higiene, e muito mais. A SendAs Distribuidora SA opera centenas de lojas e 12 centros de distribuição em todo o Brasil.
